,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
621,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-14,15,B,bonnes,2,0.9,4,47.5141954,-3.151623
873,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-14,15,B,bonnes,2,0.9,4,47.5936091,-3.1452297
372,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-15,6,B,bonnes,2,0.9,4,47.76222,-3.52245
282,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-14,6,B,bonnes,2,1.3,4,47.70566,-3.40123
913,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,9,B,bonnes,2,1.0,4,47.5182401,-3.1438806
914,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,12,B,bonnes,2,1.0,4,47.5182401,-3.1438806
915,saint-pierre-quiberon,port-rhu,saint-pierre-quiberon port-rhu,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-rhu,2023-08-14,15,B,bonnes,2,0.9,4,47.5182401,-3.1438806
872,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-14,12,B,bonnes,2,1.0,4,47.5936091,-3.1452297
288,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-15,6,B,bonnes,2,0.9,4,47.70566,-3.40123
366,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-14,6,B,bonnes,2,1.3,4,47.76222,-3.52245
563,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-11,21,C,moyennes,3,1.4,5,47.3196443,-3.2298395
279,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,15,C,moyennes,3,1.7,5,47.70566,-3.40123
280,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,18,C,moyennes,3,1.6,5,47.70566,-3.40123
66,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-13,6,C,moyennes,3,1.5,5,47.4783483,-3.1266243
281,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,21,C,moyennes,3,1.6,5,47.70566,-3.40123
775,plouharnel,sainte-barbe-plouharnel,plouharnel sainte-barbe-plouharnel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/sainte-barbe-plouharnel,2023-08-12,9,C,moyennes,3,1.9,5,47.6074012,-3.1357616
691,plouharnel,ty-hoche,plouharnel ty-hoche,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/ty-hoche,2023-08-12,9,C,moyennes,3,1.9,5,47.5969829,-3.1463891
231,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-12,15,C,moyennes,3,2.0,5,47.7058556,-3.3855627
145,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-12,9,C,moyennes,3,1.9,5,47.664549,-3.2256925
197,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,21,C,moyennes,3,1.6,5,47.6966414,-3.3529371
196,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,18,C,moyennes,3,1.6,5,47.6966414,-3.3529371
195,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,15,C,moyennes,3,1.7,5,47.6966414,-3.3529371
194,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-13,12,C,moyennes,3,1.7,5,47.6966414,-3.3529371
